product_title,rating,summary,review,sentiment
OnePlus Bullets Wireless Z Bluetooth Headset,5,Wonderful,THIS IS THE BEST AND BEST PRODUCT I'VE EVER USE.... AFTER USES 4 WIRELESS HEADPHONE I CHOOSE THIS ONE. I AM SATISFIED. I LOVE THIS REALLY.ÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¯Ã‚Â¸Ã‚Â I WANT YO SAY ALL PEOPLE THIS IS EPIC PRODUCT. REALLY NICE.,Positive
BoAt BassHeads 100 Wired Headset,4,Wonderful,looks wise it's so good. works properly  definitely recommend this one go for it don't think twice,Positive
BoAt BassHeads 100 Wired Headset,4,Good at this price,It has better grip than others in the ears. One thing I noticed is that you feel like sound is coming straight from the phone and not through your ear phone. Many times I had to remove the ear phones to check whether the sound comes from the phone or from the ear phones. Good experience.,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,4,Good choice,"""Super delivery within one day. Thaks for the filpkart delivery. Best value for price. Durable product. If u looking for a standard bluetooth headset",Positive
BoAt BassHeads 100 Wired Headset,4,Wonderful,"""build quality is good and sound is also good as per the rate",Positive
realme Buds Q Bluetooth Headset,5,Highly recommended,Very good product,Positive
realme Buds 2 Wired Headset,4,Nice product,Basss is awosame and sound is very clear on high volume and beld qwlty is very nice i suggest ki.ap ye earphone khridoo is range me ye earphone bhut mst he mere pass 3 he realme hmesa achhe produced or bugd product nikal ti he i love realme and i love flip cart thank you flipcart,Positive
realme Buds Q Bluetooth Headset,5,Highly recommended,Sound quality is awesome...latency is low,Positive
realme Buds 2 Wired Headset,4,Very Good,Nice feel and good sound quality the build quality is impressive i am satisfied of this product,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Fabulous!,Osm product by one plus... and also a good nd fast delivery by flip kart.. love this,Positive
realme Buds 2 Wired Headset,4,Worth the money,Good,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Classy product,Conectivity problm if mobile kept in pant it is disconnected,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific,Good product at best price ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚Â good battery backup,Positive
realme Buds 2 Wired Headset,5,Excellent,Reviewing after 6 months ....Sound quality is so amazing that you can compare it with other big brands like jbl sony and other and believe me u cant get better option than this in 1000 rupee segment....If u are basshead than just go for it blindly .....Noise cancellation is also amazing ...Build quality is just amazing......,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,4,Pretty good,Pros :- 1)battery backup 2)sound highCons:- 1)look is poor ( golden color in earbud is so gross)2)bass is not good,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Mind-blowing purchase,Awesome sound quality,Positive
realme Buds Q Bluetooth Headset,5,Excellent,Great product in nice price 1499,Positive
realme Buds 2 Wired Headset,5,Must buy!,one of the best delivery in Flipkart... keep it up ... best product .. last one year am a Skullcandy big fan butam a pubg player so that not suitable for me I want to move JPL it's again I feel bad for one month wasted .. I asked for many people's to realme they told me it's a good product and best of your life .. finally I feel that moment ... correct timing delivery .. good respect .... am plus member also .. one thing last few years am Flipkart customer .. I love to say u guy .. k...,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Wonderful,Nice products ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚Â,Positive
BoAt BassHeads 100 Wired Headset,5,Great product,Amazing product boat is a very good product bass is awesome I really like it,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Brilliant,Iam Using this neckband since last 2 months. Superb battery backup. Build quality and sound quality is quite good... Only one thing which i dont like in this product- most of the time when i dial the call volume goes 100%   automatically..that is irritating....if anybody can solve this problem pls share with us...thank you...,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Wonderful,Excellent product in this priceSound 5/5___Bass 5/5,Positive
BoAt BassHeads 100 Wired Headset,5,Best in the market!,its a awesome headphone i have ever experienced in my time thanks Flipkart fkr your wonderful valuable product.. i hope again it will give me more good n better products ahead..,Positive
realme Buds Wireless Bluetooth Headset,5,Fabulous!,"""Very good sound quality",Positive
realme Buds 2 Wired Headset,4,Wonderful,Totally bang on ÃƒÂ°Ã…Â¸Ã¢Â€ÂÃ‚Â¥ . Fabulous bass controll and sound clarity in full volume.. no noisy sound.no sound break.. best in the price ..Giving it a 4 star only because I didn't like the rope type wire through the plug..That's my personal disliking at all... Otherwise this headphone has nothing to be a second choice .,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Simply awesome,"""Product is gud",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Just wow!,Looking very good nice design super product I really loved it,Positive
realme Buds 2 Wired Headset,5,Simply awesome,"""It's really good & design",Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Fabulous!,very good product...excellent...I m fully satisfied,Positive
realme Buds Wireless Bluetooth Headset,5,Classy product,"""Build Quality is not that great",Positive
BoAt BassHeads 100 Wired Headset,5,Simply awesome,"""The product is awesome with great bass and sound clarity.. I liked the head set very much and it is completely worth the money. Also",Positive
BoAt BassHeads 100 Wired Headset,5,Mind-blowing purchase,Looking for the perfect headphones ?  Then this product is definitely a must buy for you. The sound quality and especially it's design and build up is awesome. I'm totally in love with this product. Thanks Flipkart for selling this amazing product at very reasonable price.,Positive
BoAt Airdopes 131 Bluetooth Headset,4,Good quality product,Sounds good looks fine but using for a long time my ear hurts good for casual song listener's,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Excellent,Best earphone under 2000 .,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Perfect product!,"""Paisa basool product bcz I buy 900 ",Positive
BoAt Airdopes 131 Bluetooth Headset,5,Best in the market!,Very strong battery backup,Positive
BoAt BassHeads 100 Wired Headset,5,Best in the market!,"""In this price range",Positive
realme Buds 2 Wired Headset,5,Must buy!,"""Sound is perfect",Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Brilliant,Thanks and,Positive
realme Buds 2 Wired Headset,5,Perfect product!,This headphone is awesome i luv this i recommend buy this best price best quality,Positive
realme Buds 2 Wired Headset,4,Good choice,The orenge color is not good.It doesn't look good. Feel cheap quality. Black colour is very good.,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific,"""Overall it has got very balanced sound signature. Bass is there but little low. Not an ideal product for bassheads.Very good for listening acoustic music.Very lightweight",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Mind-blowing purchase,Am using oneplus earphones with my oneplus 7T..very good build quality..bass also very good ÃƒÂ°Ã…Â¸Ã‹ÂœÃ‚ÂÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã…Â’ best wireless earphones from oneplus in this price....ÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¯Ã‚Â¸Ã‚Â,Positive
BoAt BassHeads 100 Wired Headset,4,Delightful,"""Good quality",Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Must buy!,"""HIGHLY HIGHLY RECOMMENDED.**Fastest delivery...I ordered 24/JULY in evening and got 27/JULY in morning...just in 2 days...*Bass is ok ok",Positive
realme Buds Q Bluetooth Headset,5,Terrific,"""Cool design. I love the color. Sometimes suddenly one of the ear buds get off by itself on long call. But manageable.battery on ear buds ",Positive
BoAt Airdopes 131 Bluetooth Headset,5,Brilliant,Good quality,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Great product,I've choose red color it's amazing...ÃƒÂ°Ã…Â¸Ã‚Â¥Ã‚Â°,Positive
realme Buds Wireless Bluetooth Headset,5,Highly recommended,Awesome product,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Really Nice,"""Very good for average users who are not looking for deep bass. Battery life is decent and charge time is quick.A few times there is some sort of connection problems and the headset keeps disconnecting and reconnecting",Positive
BoAt Airdopes 131 Bluetooth Headset,5,Super!,"""I have apple Airpod too. But this 1 is good looking than that.compact ",Positive
realme Buds Wireless Bluetooth Headset,5,Best in the market!,beautiful and use in office... without disturbing,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Wonderful,Awesome,Positive
realme Buds 2 Wired Headset,5,Wonderful,Cheap and best with affordable price. Its sound quality  is gud with bass too.,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,5,Terrific,Recieved todayWorth for 2kBut I had one plus wireless bullets 2This one comes no where near that in build quality and premium feeling and sound QualityBut again this product is 4k less.Very light weight to wearBass is good and better that bullets 2.If you have not used bullets 2 then you will be very much satisfied with wireless Z.But anyways I'll use this whole day and if I don't get satisfied then I'm going again for bullets wireless 2 onlyEdit:- after 2 days of extensive use and c...,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,4,Delightful,Product just Osm ÃƒÂ°Ã…Â¸Ã‹ÂœÃ‹Âœ,Positive
realme Buds Wireless Bluetooth Headset,5,Worth every penny,Well i wasn't expecting it to be so good. Its loud has the punchy bass. If used only for calling would last for 2 to 3 days. If music played at high volume would last around 7 to 9 hours. Good product. Lets see how many days i will be able to use it. Build quality seems to be good. No issues so far.,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Good choice,Nice build quality.. bass is best it self.. vibrate at call is nice. .. nice support from flipkart and delivery partner,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Must buy!,That's amazing purchase...Thanks a billion to Flipkart team,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Pretty good,"""Voice dropping and bluetooth interference is very frequent and spoils the experience of superb sound quality",Positive
BoAt Airdopes 131 Bluetooth Headset,5,Perfect product!,Value of money. BatteryÃƒÂ°Ã…Â¸Ã¢Â€ÂÃ¢Â€Â¹ backup is amazingÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚Â. Sound quality is good but bass is not at the mark.,Positive
U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5,Awesome,I am  so very happy so good product,Positive
realme Buds Wireless Bluetooth Headset,5,Terrific purchase,Awesome sound quality and powerful bass. Battery backup is also good. Nice product from realme and Thank you flipkart for this lovely product. ÃƒÂ°Ã…Â¸Ã‹ÂœÃ‚Â,Positive
BoAt BassHeads 100 Wired Headset,5,Classy product,Great sound quality and build quality Good enough bass but not enough to hit the sweet spot,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Super!,It is a nice product with good sound quality good treble and good bass i like it very much thanks boat for this beautiful product with budget friendly price,Positive
realme Buds Q Bluetooth Headset,5,Classy product,I love it,Positive
realme Buds 2 Wired Headset,4,Worth the money,"""I would like to suggest everyone to buy this product coz ",Positive
realme Buds Q Bluetooth Headset,5,Excellent,Nice ÃƒÂ°Ã…Â¸Ã¢Â€Â˜Ã‚Â,Positive
BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Worth every penny,I have used all three colors in this product but black color is smooth it's a nice product black color is nice,Positive
OnePlus Bullets Wireless Z Bluetooth Headset,4,Delightful,Battery backup is just awesome features are also very good.. Bass and treble is balanced Built quality is also very niceVery comfortable .... Review after use of seven days,Positive
OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5,Best in the market!,Good products,Positive
